ntaname,flood_classification,flooded_area,shape_area,boroname,flooded_area_perc,ntaname_boro
Upper East Side-Lenox Hill-Roosevelt Island,Future High Tides 2080,610981.2077855102,21500957.1763,Manhattan,2.84,"Upper East Side-Lenox Hill-Roosevelt Island, Manhattan"
Upper East Side-Lenox Hill-Roosevelt Island,Nuisance Flooding,531696.9393504075,21500957.1763,Manhattan,2.47,"Upper East Side-Lenox Hill-Roosevelt Island, Manhattan"
Upper East Side-Yorkville,Future High Tides 2080,214424.1853493969,13645033.6153,Manhattan,1.57,"Upper East Side-Yorkville, Manhattan"
Upper East Side-Yorkville,Nuisance Flooding,124160.00236225924,13645033.6153,Manhattan,0.91,"Upper East Side-Yorkville, Manhattan"
Upper West Side (Central),Deep and Contiguous Flooding,250490.95457575793,25410667.5351,Manhattan,0.99,"Upper West Side (Central), Manhattan"
Upper West Side (Central),Future High Tides 2080,9323.646365253488,25410667.5351,Manhattan,0.04,"Upper West Side (Central), Manhattan"
Upper West Side (Central),Nuisance Flooding,549560.4859480659,25410667.5351,Manhattan,2.16,"Upper West Side (Central), Manhattan"
Upper West Side-Lincoln Square,Deep and Contiguous Flooding,278709.5862949161,15797448.8311,Manhattan,1.76,"Upper West Side-Lincoln Square, Manhattan"
Upper West Side-Lincoln Square,Future High Tides 2080,177115.63795559193,15797448.8311,Manhattan,1.12,"Upper West Side-Lincoln Square, Manhattan"
Upper West Side-Lincoln Square,Nuisance Flooding,507214.86181745166,15797448.8311,Manhattan,3.21,"Upper West Side-Lincoln Square, Manhattan"
Upper West Side-Manhattan Valley,Deep and Contiguous Flooding,150546.55856944722,13200449.9463,Manhattan,1.14,"Upper West Side-Manhattan Valley, Manhattan"
Upper West Side-Manhattan Valley,Future High Tides 2080,1705.983673764629,13200449.9463,Manhattan,0.01,"Upper West Side-Manhattan Valley, Manhattan"
Upper West Side-Manhattan Valley,Nuisance Flooding,204611.20373175407,13200449.9463,Manhattan,1.55,"Upper West Side-Manhattan Valley, Manhattan"
Van Cortlandt Park,Deep and Contiguous Flooding,53472.33133548175,50659357.0747,Bronx,0.11,"Van Cortlandt Park, Bronx"
Van Cortlandt Park,Nuisance Flooding,155948.79057087252,50659357.0747,Bronx,0.31,"Van Cortlandt Park, Bronx"
Wakefield-Woodlawn,Deep and Contiguous Flooding,1052762.7685980895,39646811.7976,Bronx,2.66,"Wakefield-Woodlawn, Bronx"
Wakefield-Woodlawn,Future High Tides 2080,54995.985577607746,39646811.7976,Bronx,0.14,"Wakefield-Woodlawn, Bronx"
Wakefield-Woodlawn,Nuisance Flooding,883050.3137910707,39646811.7976,Bronx,2.23,"Wakefield-Woodlawn, Bronx"
Washington Heights (North),Deep and Contiguous Flooding,145307.33597211327,24773510.5489,Manhattan,0.59,"Washington Heights (North), Manhattan"
Washington Heights (North),Future High Tides 2080,134523.34598211476,24773510.5489,Manhattan,0.54,"Washington Heights (North), Manhattan"
Washington Heights (North),Nuisance Flooding,459151.39240655344,24773510.5489,Manhattan,1.85,"Washington Heights (North), Manhattan"
Washington Heights (South),Deep and Contiguous Flooding,166077.50938598538,21026875.6223,Manhattan,0.79,"Washington Heights (South), Manhattan"
Washington Heights (South),Future High Tides 2080,97864.75691222168,21026875.6223,Manhattan,0.47,"Washington Heights (South), Manhattan"
Washington Heights (South),Nuisance Flooding,199141.6292539077,21026875.6223,Manhattan,0.95,"Washington Heights (South), Manhattan"
West Farms,Deep and Contiguous Flooding,228112.07902777227,11701999.7321,Bronx,1.95,"West Farms, Bronx"
West Farms,Future High Tides 2080,149804.05040992552,11701999.7321,Bronx,1.28,"West Farms, Bronx"
West Farms,Nuisance Flooding,456630.4436741506,11701999.7321,Bronx,3.9,"West Farms, Bronx"
West New Brighton-Silver Lake-Grymes Hill,Deep and Contiguous Flooding,816617.406474481,85360024.6187,Staten Island,0.96,"West New Brighton-Silver Lake-Grymes Hill, Staten Island"
West New Brighton-Silver Lake-Grymes Hill,Future High Tides 2080,143531.273309073,85360024.6187,Staten Island,0.17,"West New Brighton-Silver Lake-Grymes Hill, Staten Island"
West New Brighton-Silver Lake-Grymes Hill,Nuisance Flooding,2931516.660333759,85360024.6187,Staten Island,3.43,"West New Brighton-Silver Lake-Grymes Hill, Staten Island"
West Village,Deep and Contiguous Flooding,740784.3580908219,14292674.6592,Manhattan,5.18,"West Village, Manhattan"
West Village,Future High Tides 2080,392027.33586208033,14292674.6592,Manhattan,2.74,"West Village, Manhattan"
West Village,Nuisance Flooding,527595.7735113061,14292674.6592,Manhattan,3.69,"West Village, Manhattan"
Westchester Square,Deep and Contiguous Flooding,573871.754647224,15373585.4442,Bronx,3.73,"Westchester Square, Bronx"
Westchester Square,Future High Tides 2080,136241.97382713744,15373585.4442,Bronx,0.89,"Westchester Square, Bronx"
