ntaname,flood_classification,flooded_area,shape_area,boroname,flooded_area_perc,ntaname_boro
Brownsville,Deep and Contiguous Flooding,1505644.3260816657,30785525.7754,Brooklyn,4.89,"Brownsville, Brooklyn"
Brownsville,Nuisance Flooding,3331767.264571094,30785525.7754,Brooklyn,10.82,"Brownsville, Brooklyn"
Bushwick (East),Deep and Contiguous Flooding,2370521.223673042,27932138.1205,Brooklyn,8.49,"Bushwick (East), Brooklyn"
Bushwick (East),Nuisance Flooding,976845.0026982438,27932138.1205,Brooklyn,3.5,"Bushwick (East), Brooklyn"
Bushwick (West),Deep and Contiguous Flooding,1321440.9061454195,23135495.4878,Brooklyn,5.71,"Bushwick (West), Brooklyn"
Bushwick (West),Nuisance Flooding,929218.2407417082,23135495.4878,Brooklyn,4.02,"Bushwick (West), Brooklyn"
Calvary & Mount Zion Cemeteries,Deep and Contiguous Flooding,349514.2026018905,14291820.1275,Queens,2.45,"Calvary & Mount Zion Cemeteries, Queens"
Calvary & Mount Zion Cemeteries,Nuisance Flooding,11587.430381814202,14291820.1275,Queens,0.08,"Calvary & Mount Zion Cemeteries, Queens"
Calvert Vaux Park,Deep and Contiguous Flooding,2887.1680054588783,4222370.8327,Brooklyn,0.07,"Calvert Vaux Park, Brooklyn"
Calvert Vaux Park,Future High Tides 2080,270133.4244662889,4222370.8327,Brooklyn,6.4,"Calvert Vaux Park, Brooklyn"
Calvert Vaux Park,Nuisance Flooding,17264.38630978325,4222370.8327,Brooklyn,0.41,"Calvert Vaux Park, Brooklyn"
Cambria Heights,Deep and Contiguous Flooding,1498005.775170385,33073253.5831,Queens,4.53,"Cambria Heights, Queens"
Cambria Heights,Nuisance Flooding,1791688.9124066548,33073253.5831,Queens,5.42,"Cambria Heights, Queens"
Canarsie,Deep and Contiguous Flooding,3968877.015895309,70537629.7773,Brooklyn,5.63,"Canarsie, Brooklyn"
Canarsie,Future High Tides 2080,1414466.2367875874,70537629.7773,Brooklyn,2.01,"Canarsie, Brooklyn"
Canarsie,Nuisance Flooding,4253724.064513329,70537629.7773,Brooklyn,6.03,"Canarsie, Brooklyn"
