nta2020,count,flood_classification,flooded_count,flooded_perc,ntaname,boroname,ntaname_boro
MN0502,1469,Deep and Contiguous Flooding,90,6.13,Midtown-Times Square,Manhattan,"Midtown-Times Square, Manhattan"
BX0702,1446,Deep and Contiguous Flooding,23,1.59,Bedford Park,Bronx,"Bedford Park, Bronx"
BX0702,1446,Nuisance Flooding,8,0.55,Bedford Park,Bronx,"Bedford Park, Bronx"
BX0201,1436,Nuisance Flooding,113,7.87,Hunts Point,Bronx,"Hunts Point, Bronx"
BX0201,1436,Deep and Contiguous Flooding,74,5.15,Hunts Point,Bronx,"Hunts Point, Bronx"
BX0201,1436,Future High Tides 2080,3,0.21,Hunts Point,Bronx,"Hunts Point, Bronx"
BX0301,1435,Nuisance Flooding,56,3.9,Morrisania,Bronx,"Morrisania, Bronx"
BX0301,1435,Deep and Contiguous Flooding,31,2.16,Morrisania,Bronx,"Morrisania, Bronx"
BX0401,1376,Deep and Contiguous Flooding,148,10.76,Concourse-Concourse Village,Bronx,"Concourse-Concourse Village, Bronx"
BX0401,1376,Nuisance Flooding,70,5.09,Concourse-Concourse Village,Bronx,"Concourse-Concourse Village, Bronx"
BX0401,1376,Future High Tides 2080,1,0.07,Concourse-Concourse Village,Bronx,"Concourse-Concourse Village, Bronx"
MN0501,1312,Nuisance Flooding,177,13.49,Midtown South-Flatiron-Union Square,Manhattan,"Midtown South-Flatiron-Union Square, Manhattan"
MN0501,1312,Deep and Contiguous Flooding,54,4.12,Midtown South-Flatiron-Union Square,Manhattan,"Midtown South-Flatiron-Union Square, Manhattan"
QN0201,1309,Nuisance Flooding,174,13.29,Long Island City-Hunters Point,Queens,"Long Island City-Hunters Point, Queens"
QN0201,1309,Deep and Contiguous Flooding,93,7.1,Long Island City-Hunters Point,Queens,"Long Island City-Hunters Point, Queens"
QN0201,1309,Future High Tides 2080,64,4.89,Long Island City-Hunters Point,Queens,"Long Island City-Hunters Point, Queens"
MN0603,1229,Nuisance Flooding,81,6.59,Murray Hill-Kips Bay,Manhattan,"Murray Hill-Kips Bay, Manhattan"
MN0603,1229,Deep and Contiguous Flooding,55,4.48,Murray Hill-Kips Bay,Manhattan,"Murray Hill-Kips Bay, Manhattan"
MN0603,1229,Future High Tides 2080,15,1.22,Murray Hill-Kips Bay,Manhattan,"Murray Hill-Kips Bay, Manhattan"
MN0202,1227,Nuisance Flooding,158,12.88,Greenwich Village,Manhattan,"Greenwich Village, Manhattan"
MN0202,1227,Deep and Contiguous Flooding,46,3.75,Greenwich Village,Manhattan,"Greenwich Village, Manhattan"
MN1201,1222,Deep and Contiguous Flooding,35,2.86,Washington Heights (South),Manhattan,"Washington Heights (South), Manhattan"
MN1201,1222,Nuisance Flooding,21,1.72,Washington Heights (South),Manhattan,"Washington Heights (South), Manhattan"
BX0703,1209,Nuisance Flooding,14,1.16,Norwood,Bronx,"Norwood, Bronx"
BX0703,1209,Deep and Contiguous Flooding,3,0.25,Norwood,Bronx,"Norwood, Bronx"
BX0701,1209,Nuisance Flooding,17,1.41,University Heights (North)-Fordham,Bronx,"University Heights (North)-Fordham, Bronx"
BX0701,1209,Future High Tides 2080,1,0.08,University Heights (North)-Fordham,Bronx,"University Heights (North)-Fordham, Bronx"
BX0801,1185,Nuisance Flooding,24,2.03,Kingsbridge Heights-Van Cortlandt Village,Bronx,"Kingsbridge Heights-Van Cortlandt Village, Bronx"
BX0801,1185,Deep and Contiguous Flooding,23,1.94,Kingsbridge Heights-Van Cortlandt Village,Bronx,"Kingsbridge Heights-Van Cortlandt Village, Bronx"
BX0502,1165,Deep and Contiguous Flooding,84,7.21,Mount Hope,Bronx,"Mount Hope, Bronx"
BX0502,1165,Nuisance Flooding,33,2.83,Mount Hope,Bronx,"Mount Hope, Bronx"
MN0301,1126,Nuisance Flooding,59,5.24,Chinatown-Two Bridges,Manhattan,"Chinatown-Two Bridges, Manhattan"
MN0301,1126,Future High Tides 2080,8,0.71,Chinatown-Two Bridges,Manhattan,"Chinatown-Two Bridges, Manhattan"
MN0301,1126,Deep and Contiguous Flooding,7,0.62,Chinatown-Two Bridges,Manhattan,"Chinatown-Two Bridges, Manhattan"
MN0604,1111,Deep and Contiguous Flooding,141,12.69,East Midtown-Turtle Bay,Manhattan,"East Midtown-Turtle Bay, Manhattan"
MN0604,1111,Nuisance Flooding,109,9.81,East Midtown-Turtle Bay,Manhattan,"East Midtown-Turtle Bay, Manhattan"
MN0604,1111,Future High Tides 2080,2,0.18,East Midtown-Turtle Bay,Manhattan,"East Midtown-Turtle Bay, Manhattan"
BX0403,1076,Deep and Contiguous Flooding,49,4.55,Mount Eden-Claremont (West),Bronx,"Mount Eden-Claremont (West), Bronx"
BX0403,1076,Nuisance Flooding,43,4.0,Mount Eden-Claremont (West),Bronx,"Mount Eden-Claremont (West), Bronx"
MN1101,1029,Deep and Contiguous Flooding,156,15.16,East Harlem (South),Manhattan,"East Harlem (South), Manhattan"
MN1101,1029,Nuisance Flooding,90,8.75,East Harlem (South),Manhattan,"East Harlem (South), Manhattan"
MN1101,1029,Future High Tides 2080,4,0.39,East Harlem (South),Manhattan,"East Harlem (South), Manhattan"
MN0302,1023,Nuisance Flooding,185,18.08,Lower East Side,Manhattan,"Lower East Side, Manhattan"
MN0302,1023,Deep and Contiguous Flooding,11,1.08,Lower East Side,Manhattan,"Lower East Side, Manhattan"
MN0302,1023,Future High Tides 2080,2,0.2,Lower East Side,Manhattan,"Lower East Side, Manhattan"
MN1202,1002,Nuisance Flooding,71,7.09,Washington Heights (North),Manhattan,"Washington Heights (North), Manhattan"
MN1202,1002,Deep and Contiguous Flooding,34,3.39,Washington Heights (North),Manhattan,"Washington Heights (North), Manhattan"
MN1202,1002,Future High Tides 2080,4,0.4,Washington Heights (North),Manhattan,"Washington Heights (North), Manhattan"
MN0703,985,Deep and Contiguous Flooding,31,3.15,Upper West Side-Manhattan Valley,Manhattan,"Upper West Side-Manhattan Valley, Manhattan"
MN0703,985,Nuisance Flooding,30,3.05,Upper West Side-Manhattan Valley,Manhattan,"Upper West Side-Manhattan Valley, Manhattan"
MN0701,961,Nuisance Flooding,44,4.58,Upper West Side-Lincoln Square,Manhattan,"Upper West Side-Lincoln Square, Manhattan"
MN0701,961,Deep and Contiguous Flooding,27,2.81,Upper West Side-Lincoln Square,Manhattan,"Upper West Side-Lincoln Square, Manhattan"
MN0701,961,Future High Tides 2080,2,0.21,Upper West Side-Lincoln Square,Manhattan,"Upper West Side-Lincoln Square, Manhattan"
BX0802,959,Deep and Contiguous Flooding,117,12.2,Kingsbridge-Marble Hill,Bronx,"Kingsbridge-Marble Hill, Bronx"
BX0802,959,Nuisance Flooding,44,4.59,Kingsbridge-Marble Hill,Bronx,"Kingsbridge-Marble Hill, Bronx"
MN0102,911,Deep and Contiguous Flooding,162,17.78,Tribeca-Civic Center,Manhattan,"Tribeca-Civic Center, Manhattan"
MN0102,911,Nuisance Flooding,30,3.29,Tribeca-Civic Center,Manhattan,"Tribeca-Civic Center, Manhattan"
MN0102,911,Future High Tides 2080,5,0.55,Tribeca-Civic Center,Manhattan,"Tribeca-Civic Center, Manhattan"
MN0602,828,Nuisance Flooding,113,13.65,Gramercy,Manhattan,"Gramercy, Manhattan"
MN0602,828,Deep and Contiguous Flooding,35,4.23,Gramercy,Manhattan,"Gramercy, Manhattan"
BX0402,785,Nuisance Flooding,15,1.91,Highbridge,Bronx,"Highbridge, Bronx"
BX0402,785,Deep and Contiguous Flooding,10,1.27,Highbridge,Bronx,"Highbridge, Bronx"
BK0504,722,Nuisance Flooding,63,8.73,Spring Creek-Starrett City,Brooklyn,"Spring Creek-Starrett City, Brooklyn"
BK0504,722,Deep and Contiguous Flooding,23,3.19,Spring Creek-Starrett City,Brooklyn,"Spring Creek-Starrett City, Brooklyn"
BX0503,694,Nuisance Flooding,37,5.33,Fordham Heights,Bronx,"Fordham Heights, Bronx"
BX0503,694,Deep and Contiguous Flooding,8,1.15,Fordham Heights,Bronx,"Fordham Heights, Bronx"
BX0601,671,Nuisance Flooding,50,7.45,West Farms,Bronx,"West Farms, Bronx"
BX0601,671,Deep and Contiguous Flooding,31,4.62,West Farms,Bronx,"West Farms, Bronx"
BX0601,671,Future High Tides 2080,3,0.45,West Farms,Bronx,"West Farms, Bronx"
MN0101,635,Future High Tides 2080,170,26.77,Financial District-Battery Park City,Manhattan,"Financial District-Battery Park City, Manhattan"
MN0101,635,Nuisance Flooding,46,7.24,Financial District-Battery Park City,Manhattan,"Financial District-Battery Park City, Manhattan"
MN0101,635,Deep and Contiguous Flooding,30,4.72,Financial District-Battery Park City,Manhattan,"Financial District-Battery Park City, Manhattan"
MN1203,603,Deep and Contiguous Flooding,93,15.42,Inwood,Manhattan,"Inwood, Manhattan"
MN1203,603,Nuisance Flooding,40,6.63,Inwood,Manhattan,"Inwood, Manhattan"
MN1203,603,Future High Tides 2080,4,0.66,Inwood,Manhattan,"Inwood, Manhattan"
BX0904,571,Deep and Contiguous Flooding,106,18.56,Parkchester,Bronx,"Parkchester, Bronx"
BX0904,571,Nuisance Flooding,72,12.61,Parkchester,Bronx,"Parkchester, Bronx"
BX1004,528,Deep and Contiguous Flooding,53,10.04,Co-op City,Bronx,"Co-op City, Bronx"
BX1004,528,Nuisance Flooding,34,6.44,Co-op City,Bronx,"Co-op City, Bronx"
BX1004,528,Future High Tides 2080,1,0.19,Co-op City,Bronx,"Co-op City, Bronx"
MN0901,522,Deep and Contiguous Flooding,30,5.75,Morningside Heights,Manhattan,"Morningside Heights, Manhattan"
MN0901,522,Nuisance Flooding,20,3.83,Morningside Heights,Manhattan,"Morningside Heights, Manhattan"
BX0302,473,Nuisance Flooding,28,5.92,Claremont Village-Claremont (East),Bronx,"Claremont Village-Claremont (East), Bronx"
BX0302,473,Deep and Contiguous Flooding,16,3.38,Claremont Village-Claremont (East),Bronx,"Claremont Village-Claremont (East), Bronx"
MN0902,448,Nuisance Flooding,27,6.03,Manhattanville-West Harlem,Manhattan,"Manhattanville-West Harlem, Manhattan"
MN0902,448,Deep and Contiguous Flooding,12,2.68,Manhattanville-West Harlem,Manhattan,"Manhattanville-West Harlem, Manhattan"
MN0902,448,Future High Tides 2080,2,0.45,Manhattanville-West Harlem,Manhattan,"Manhattanville-West Harlem, Manhattan"
QN8381,286,Deep and Contiguous Flooding,1,0.35,John F. Kennedy International Airport,Queens,"John F. Kennedy International Airport, Queens"
BX2791,228,,0,0.0,Bronx Park,Bronx,"Bronx Park, Bronx"
QN0151,199,,0,0.0,Rikers Island,Bronx,"Rikers Island, Bronx"
MN0191,175,Future High Tides 2080,3,1.71,The Battery-Governors Island-Ellis Island-Liberty Island,Manhattan,"The Battery-Governors Island-Ellis Island-Liberty Island, Manhattan"
MN0191,175,Nuisance Flooding,1,0.57,The Battery-Governors Island-Ellis Island-Liberty Island,Manhattan,"The Battery-Governors Island-Ellis Island-Liberty Island, Manhattan"
QN8492,164,Future High Tides 2080,31,18.9,Jacob Riis Park-Fort Tilden-Breezy Point Tip,Queens,"Jacob Riis Park-Fort Tilden-Breezy Point Tip, Queens"
QN8492,164,Nuisance Flooding,6,3.66,Jacob Riis Park-Fort Tilden-Breezy Point Tip,Queens,"Jacob Riis Park-Fort Tilden-Breezy Point Tip, Queens"
QN8191,163,Future High Tides 2080,12,7.36,Flushing Meadows-Corona Park,Queens,"Flushing Meadows-Corona Park, Queens"
MN1191,160,,0,0.0,Randall's Island,Manhattan,"Randall's Island, Manhattan"
SI9561,143,,0,0.0,Fort Wadsworth,Staten Island,"Fort Wadsworth, Staten Island"
BK0261,132,,0,0.0,Brooklyn Navy Yard,Brooklyn,"Brooklyn Navy Yard, Brooklyn"
QN0261,130,Nuisance Flooding,3,2.31,Sunnyside Yards (South),Queens,"Sunnyside Yards (South), Queens"
BK1061,128,,0,0.0,Fort Hamilton,Brooklyn,"Fort Hamilton, Brooklyn"
BX1161,125,Deep and Contiguous Flooding,14,11.2,Hutchinson Metro Center,Bronx,"Hutchinson Metro Center, Bronx"
BX1161,125,Nuisance Flooding,6,4.8,Hutchinson Metro Center,Bronx,"Hutchinson Metro Center, Bronx"
BX2891,123,,0,0.0,Pelham Bay Park,Bronx,"Pelham Bay Park, Bronx"
SI0391,111,Deep and Contiguous Flooding,3,2.7,Freshkills Park (South),Staten Island,"Freshkills Park (South), Staten Island"
SI0391,111,Nuisance Flooding,2,1.8,Freshkills Park (South),Staten Island,"Freshkills Park (South), Staten Island"
QN0761,100,,0,0.0,Fort Totten,Queens,"Fort Totten, Queens"
BK5691,89,Nuisance Flooding,3,3.37,Barren Island-Floyd Bennett Field,Brooklyn,"Barren Island-Floyd Bennett Field, Brooklyn"
BK5691,89,Future High Tides 2080,3,3.37,Barren Island-Floyd Bennett Field,Brooklyn,"Barren Island-Floyd Bennett Field, Brooklyn"
MN0601,81,Nuisance Flooding,20,24.69,Stuyvesant Town-Peter Cooper Village,Manhattan,"Stuyvesant Town-Peter Cooper Village, Manhattan"
MN0601,81,Future High Tides 2080,18,22.22,Stuyvesant Town-Peter Cooper Village,Manhattan,"Stuyvesant Town-Peter Cooper Village, Manhattan"
MN0601,81,Deep and Contiguous Flooding,6,7.41,Stuyvesant Town-Peter Cooper Village,Manhattan,"Stuyvesant Town-Peter Cooper Village, Manhattan"
BK5591,65,,0,0.0,Prospect Park,Brooklyn,"Prospect Park, Brooklyn"
MN6491,61,Nuisance Flooding,1,1.64,Central Park,Manhattan,"Central Park, Manhattan"
BX2691,60,,0,0.0,Van Cortlandt Park,Bronx,"Van Cortlandt Park, Bronx"
QN0161,56,Nuisance Flooding,20,35.71,Sunnyside Yards (North),Queens,"Sunnyside Yards (North), Queens"
QN0161,56,Deep and Contiguous Flooding,20,35.71,Sunnyside Yards (North),Queens,"Sunnyside Yards (North), Queens"
QN8081,47,Deep and Contiguous Flooding,8,17.02,LaGuardia Airport,Queens,"LaGuardia Airport, Queens"
QN8081,47,Nuisance Flooding,2,4.26,LaGuardia Airport,Queens,"LaGuardia Airport, Queens"
QN8081,47,Future High Tides 2080,1,2.13,LaGuardia Airport,Queens,"LaGuardia Airport, Queens"
SI0191,42,,0,0.0,Snug Harbor,Staten Island,"Snug Harbor, Staten Island"
SI0291,41,Future High Tides 2080,1,2.44,Freshkills Park (North),Staten Island,"Freshkills Park (North), Staten Island"
QN8291,39,,0,0.0,Forest Park,Queens,"Forest Park, Queens"
BK1891,29,Deep and Contiguous Flooding,1,3.45,Marine Park-Plumb Island,Brooklyn,"Marine Park-Plumb Island, Brooklyn"
BK1891,29,Nuisance Flooding,1,3.45,Marine Park-Plumb Island,Brooklyn,"Marine Park-Plumb Island, Brooklyn"
SI9592,27,Deep and Contiguous Flooding,4,14.81,Miller Field,Staten Island,"Miller Field, Staten Island"
SI9592,27,Nuisance Flooding,2,7.41,Miller Field,Staten Island,"Miller Field, Staten Island"
BX1071,18,,0,0.0,Hart Island,Bronx,"Hart Island, Bronx"
QN0891,16,,0,0.0,Cunningham Park,Queens,"Cunningham Park, Queens"
BX0491,16,Deep and Contiguous Flooding,1,6.25,Yankee Stadium-Macombs Dam Park,Bronx,"Yankee Stadium-Macombs Dam Park, Bronx"
MN1292,15,Future High Tides 2080,3,20.0,Inwood Hill Park,Manhattan,"Inwood Hill Park, Manhattan"
BK1091,13,,0,0.0,Dyker Beach Park,Brooklyn,"Dyker Beach Park, Brooklyn"
SI9593,11,,0,0.0,Great Kills Park,Staten Island,"Great Kills Park, Staten Island"
BX0291,11,,0,0.0,North & South Brother Islands,Bronx,"North & South Brother Islands, Bronx"
BX0391,11,,0,0.0,Crotona Park,Bronx,"Crotona Park, Bronx"
QN1191,11,,0,0.0,Alley Pond Park,Queens,"Alley Pond Park, Queens"
MN1291,10,Nuisance Flooding,1,10.0,Highbridge Park,Manhattan,"Highbridge Park, Manhattan"
MN0661,9,,0,0.0,United Nations,Manhattan,"United Nations, Manhattan"
BK1892,8,Future High Tides 2080,1,12.5,McGuire Fields,Brooklyn,"McGuire Fields, Brooklyn"
QN8491,8,Future High Tides 2080,1,12.5,Jamaica Bay (East),Queens,"Jamaica Bay (East), Queens"
QN0791,7,,0,0.0,Kissena Park,Queens,"Kissena Park, Queens"
QN1491,7,Future High Tides 2080,1,14.29,Rockaway Community Park,Queens,"Rockaway Community Park, Queens"
BX0492,7,,0,0.0,Claremont Park,Bronx,"Claremont Park, Bronx"
BK5693,6,Nuisance Flooding,3,50.0,Shirley Chisholm State Park,Brooklyn,"Shirley Chisholm State Park, Brooklyn"
QN0191,6,,0,0.0,Astoria Park,Queens,"Astoria Park, Queens"
BX0991,5,,0,0.0,Soundview Park,Bronx,"Soundview Park, Bronx"
BK1893,4,,0,0.0,Canarsie Park & Pier,Brooklyn,"Canarsie Park & Pier, Brooklyn"
BK1391,3,,0,0.0,Calvert Vaux Park,Brooklyn,"Calvert Vaux Park, Brooklyn"
BK0891,2,,0,0.0,Lincoln Terrace Park,Brooklyn,"Lincoln Terrace Park, Brooklyn"
