nta2020,count,flood_classification,flooded_count,flooded_perc,ntaname,boroname,ntaname_boro
BX0901,4445,Deep and Contiguous Flooding,598,13.45,Soundview-Bruckner-Bronx River,Bronx,"Soundview-Bruckner-Bronx River, Bronx"
BX0901,4445,Nuisance Flooding,154,3.46,Soundview-Bruckner-Bronx River,Bronx,"Soundview-Bruckner-Bronx River, Bronx"
BX0901,4445,Future High Tides 2080,8,0.18,Soundview-Bruckner-Bronx River,Bronx,"Soundview-Bruckner-Bronx River, Bronx"
BK0505,4368,Deep and Contiguous Flooding,606,13.87,East New York-City Line,Brooklyn,"East New York-City Line, Brooklyn"
BK0505,4368,Nuisance Flooding,365,8.36,East New York-City Line,Brooklyn,"East New York-City Line, Brooklyn"
BK1704,4350,Nuisance Flooding,466,10.71,East Flatbush-Remsen Village,Brooklyn,"East Flatbush-Remsen Village, Brooklyn"
BK1704,4350,Deep and Contiguous Flooding,176,4.05,East Flatbush-Remsen Village,Brooklyn,"East Flatbush-Remsen Village, Brooklyn"
QN0202,4300,Deep and Contiguous Flooding,402,9.35,Sunnyside,Queens,"Sunnyside, Queens"
QN0202,4300,Nuisance Flooding,248,5.77,Sunnyside,Queens,"Sunnyside, Queens"
QN0202,4300,Future High Tides 2080,11,0.26,Sunnyside,Queens,"Sunnyside, Queens"
BK0902,4296,Deep and Contiguous Flooding,464,10.8,Prospect Lefferts Gardens-Wingate,Brooklyn,"Prospect Lefferts Gardens-Wingate, Brooklyn"
BK0902,4296,Nuisance Flooding,385,8.96,Prospect Lefferts Gardens-Wingate,Brooklyn,"Prospect Lefferts Gardens-Wingate, Brooklyn"
BK0901,4102,Nuisance Flooding,13,0.32,Crown Heights (South),Brooklyn,"Crown Heights (South), Brooklyn"
BK0901,4102,Deep and Contiguous Flooding,2,0.05,Crown Heights (South),Brooklyn,"Crown Heights (South), Brooklyn"
BK1203,4022,Nuisance Flooding,334,8.3,Kensington,Brooklyn,"Kensington, Brooklyn"
BK1203,4022,Deep and Contiguous Flooding,169,4.2,Kensington,Brooklyn,"Kensington, Brooklyn"
QN0303,3919,Nuisance Flooding,242,6.18,North Corona,Queens,"North Corona, Queens"
QN0303,3919,Deep and Contiguous Flooding,76,1.94,North Corona,Queens,"North Corona, Queens"
BK1601,3861,Nuisance Flooding,139,3.6,Ocean Hill,Brooklyn,"Ocean Hill, Brooklyn"
BK1601,3861,Deep and Contiguous Flooding,72,1.86,Ocean Hill,Brooklyn,"Ocean Hill, Brooklyn"
QN0601,3732,Nuisance Flooding,252,6.75,Rego Park,Queens,"Rego Park, Queens"
QN0601,3732,Deep and Contiguous Flooding,159,4.26,Rego Park,Queens,"Rego Park, Queens"
BX0902,3672,Deep and Contiguous Flooding,377,10.27,Soundview-Clason Point,Bronx,"Soundview-Clason Point, Bronx"
BX0902,3672,Nuisance Flooding,153,4.17,Soundview-Clason Point,Bronx,"Soundview-Clason Point, Bronx"
BX0902,3672,Future High Tides 2080,34,0.93,Soundview-Clason Point,Bronx,"Soundview-Clason Point, Bronx"
BK0102,3657,Deep and Contiguous Flooding,277,7.57,Williamsburg,Brooklyn,"Williamsburg, Brooklyn"
BK0102,3657,Nuisance Flooding,195,5.33,Williamsburg,Brooklyn,"Williamsburg, Brooklyn"
BK0102,3657,Future High Tides 2080,5,0.14,Williamsburg,Brooklyn,"Williamsburg, Brooklyn"
BK0701,3615,Nuisance Flooding,182,5.03,Windsor Terrace-South Slope,Brooklyn,"Windsor Terrace-South Slope, Brooklyn"
BK0701,3615,Deep and Contiguous Flooding,15,0.41,Windsor Terrace-South Slope,Brooklyn,"Windsor Terrace-South Slope, Brooklyn"
SI0102,3551,Deep and Contiguous Flooding,308,8.67,Tompkinsville-Stapleton-Clifton-Fox Hills,Staten Island,"Tompkinsville-Stapleton-Clifton-Fox Hills, Staten Island"
SI0102,3551,Nuisance Flooding,242,6.81,Tompkinsville-Stapleton-Clifton-Fox Hills,Staten Island,"Tompkinsville-Stapleton-Clifton-Fox Hills, Staten Island"
BK1401,3414,Deep and Contiguous Flooding,338,9.9,Flatbush,Brooklyn,"Flatbush, Brooklyn"
BK1401,3414,Nuisance Flooding,315,9.23,Flatbush,Brooklyn,"Flatbush, Brooklyn"
BK1302,3360,Future High Tides 2080,1161,34.55,Coney Island-Sea Gate,Brooklyn,"Coney Island-Sea Gate, Brooklyn"
BK1302,3360,Nuisance Flooding,207,6.16,Coney Island-Sea Gate,Brooklyn,"Coney Island-Sea Gate, Brooklyn"
BK1302,3360,Deep and Contiguous Flooding,20,0.6,Coney Island-Sea Gate,Brooklyn,"Coney Island-Sea Gate, Brooklyn"
BK1201,3254,Nuisance Flooding,156,4.79,Sunset Park (East)-Borough Park (West),Brooklyn,"Sunset Park (East)-Borough Park (West), Brooklyn"
BK1201,3254,Deep and Contiguous Flooding,58,1.78,Sunset Park (East)-Borough Park (West),Brooklyn,"Sunset Park (East)-Borough Park (West), Brooklyn"
